Semana,Num_Aviones,Motores_en_mantenimiento,Motores_arrendados,Motores_comprados,Motores_en_stock,Motores_sobreciclo,Costo_acumulado
230,30,0,30,0,30,0,466900000.0
231,30,0,30,0,30,0,469000000.0
232,30,0,30,0,30,0,471100000.0
233,30,0,30,0,30,0,473200000.0
234,30,0,30,0,30,0,475300000.0
235,30,0,30,0,30,0,477400000.0
236,30,0,30,0,30,0,479500000.0
237,30,0,30,0,30,0,481600000.0
238,30,0,30,0,30,0,483700000.0
239,30,0,30,0,30,0,485800000.0
240,30,0,30,0,30,0,487900000.0
241,30,0,30,0,30,0,490000000.0
242,30,0,30,0,30,0,492100000.0
243,30,0,30,0,30,0,494200000.0
244,30,0,30,0,30,0,496300000.0
245,30,0,30,0,30,0,498400000.0
246,30,0,30,0,30,0,500500000.0
247,30,0,30,0,30,0,502600000.0
248,30,0,30,0,30,0,504700000.0
249,30,0,30,0,30,0,506800000.0
250,30,0,30,0,30,0,508900000.0
251,30,0,30,0,30,0,511000000.0
252,30,0,30,0,30,0,513100000.0
253,30,0,30,0,30,0,515200000.0
254,30,0,30,0,30,0,517300000.0
255,30,0,30,0,30,0,519400000.0
256,30,0,30,0,30,0,521500000.0
257,30,0,30,0,30,0,523600000.0
258,30,0,30,0,30,0,525700000.0
259,30,0,30,0,30,0,527800000.0
260,30,0,30,0,30,0,529900000.0
